n1,l1,j1,n2,l2,j2,dipole matrix element reduced J basis (a.u.),comment,"theory = 1, experiment = 0",accuracy,source,doi
6,0,0.5,6,1,0.5,4.535,"scaled, table VI",1,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
6,0,0.5,6,1,1.5,6.382,"scaled, table VI",1,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
6,0,0.5,7,1,0.5,0.279,"scaled, table VI",1,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
6,0,0.5,7,1,1.5,0.576,"scaled, table VI",1,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
6,0,0.5,8,1,0.5,0.081,"scaled, table VI",1,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
6,0,0.5,8,1,1.5,0.218,"scaled, table VI",1,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
7,0,0.5,6,1,0.5,4.243,"scaled, table VI",1,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
7,0,0.5,6,1,1.5,6.479,"scaled, table VI",1,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
7,0,0.5,7,1,0.5,10.31,"scaled, table VI",1,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
7,0,0.5,7,1,1.5,14.323,"scaled, table VI",1,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
6,0,0.5,6,1,0.5,4.489,"expt, table VI",0,0.0065,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
6,0,0.5,6,1,1.5,6.3238,"expt, table VI",0,0.0073,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
6,0,0.5,7,1,0.5,0.284,"expt, table VI",0,0.02,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
6,0,0.5,7,1,1.5,0.583,"expt, table VI",0,0.01,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
7,0,0.5,6,1,0.5,4.233,"expt, table VI",0,0.022,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
7,0,0.5,6,1,1.5,6.479,"expt, table VI",0,0.031,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
7,0,0.5,7,1,0.5,10.308,"expt, table VI",0,0.015,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
7,0,0.5,7,1,1.5,14.32,"expt, table VI",0,0.02,"Physical Review A, 60 4476 (1999)",10.1103/PhysRevA.60.4476
7,0,0.5,8,1,0.5,0.914,"table I, absolute",1,0.027,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,0,0.5,8,1,1.5,1.62,"table I, absolute",1,0.035,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,0,0.5,9,1,0.5,0.349,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,0,0.5,9,1,1.5,0.68,"table I, absolute",1,0.014,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,0,0.5,10,1,0.5,0.191,"table I, absolute",1,0.006,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,0,0.5,10,1,1.5,0.396,"table I, absolute",1,0.009,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,0,0.5,11,1,0.5,0.125,"table I, absolute",1,0.004,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,0,0.5,11,1,1.5,0.27,"table I, absolute",1,0.007,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,0,0.5,7,1,0.5,9.31,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,0,0.5,7,1,1.5,14.07,"table I, absolute",1,0.07,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,0,0.5,8,1,0.5,17.78,"table I, absolute",1,0.06,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,0,0.5,8,1,1.5,24.56,"table I, absolute",1,0.09,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,0,0.5,7,1,0.5,1.96,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,0,0.5,8,1,0.5,16.06,"table I, absolute",1,0.04,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,0,0.5,8,1,1.5,24.13,"table I, absolute",1,0.05,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,0,0.5,9,1,0.5,27.1,"table I, absolute",1,0.08,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,0,0.5,9,1,1.5,37.3,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,0,0.5,7,1,0.5,0.999,"table I, absolute",1,0.009,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,0,0.5,8,1,0.5,3.15,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,0,0.5,9,1,0.5,24.5,"table I, absolute",1,0.05,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,0,0.5,9,1,1.5,36.69,"table I, absolute",1,0.08,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
11,0,0.5,7,1,0.5,0.65,"table I, absolute",1,0.006,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
11,0,0.5,8,1,0.5,1.56,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
11,0,0.5,9,1,0.5,4.61,"table I, absolute",1,0.04,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
11,0,0.5,9,1,1.5,6.29,"table I, absolute",1,0.06,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
12,0,0.5,7,1,0.5,0.474,"table I, absolute",1,0.005,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,1,0.5,7,2,1.5,2.05,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,1,1.5,7,2,1.5,0.976,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,1,1.5,7,2,2.5,2.89,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,1,1.5,10,2,2.5,0.979,"table I, absolute",1,0.006,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,1,1.5,11,2,2.5,0.782,"table I, absolute",1,0.005,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,0.5,6,2,1.5,17.99,"table I, absolute",1,0.04,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,1.5,6,2,1.5,8.07,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,1.5,6,2,2.5,24.35,"table I, absolute",1,0.06,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,1.5,10,2,1.5,0.68,"table I, absolute",1,0.006,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,1.5,10,2,2.5,2.02,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,1,1.5,11,2,2.5,1.55,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,1,0.5,7,2,1.5,32,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,1,1.5,7,2,1.5,14.35,"table I, absolute",1,0.05,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,1,1.5,7,2,2.5,43.2,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,1,0.5,8,2,1.5,49.3,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,1,1.5,8,2,1.5,22.14,"table I, absolute",1,0.07,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,1,1.5,8,2,2.5,66.6,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,1,0.5,9,2,1.5,70,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,1,1.5,9,2,1.5,31.45,"table I, absolute",1,0.08,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,1,1.5,9,2,2.5,94.5,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
11,1,0.5,10,2,1.5,94.1,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
