wl,n
0.2100,1.804
0.2200,1.790
0.2300,1.780
0.2400,1.768
0.2500,1.763
0.2600,1.755
0.2700,1.751
0.2800,1.748
0.2900,1.743
0.3000,1.738
0.3100,1.738
0.3200,1.738
0.3300,1.737
0.3400,1.736
0.3500,1.734
0.3600,1.733
0.3700,1.733
0.3800,1.733
0.3900,1.733
0.4000,1.732
0.4100,1.731
0.4200,1.730
0.4300,1.730
0.4400,1.730
0.4500,1.730
0.4600,1.730
0.4700,1.730
0.4800,1.729
0.4900,1.729
0.5000,1.729
0.5100,1.729
0.5200,1.729
0.5300,1.729
0.5400,1.729
0.5500,1.729
0.5600,1.728
0.5700,1.728
0.5800,1.728
0.5900,1.728
0.6000,1.728
0.6100,1.728
0.6200,1.728
0.6300,1.728
0.6400,1.727
0.6500,1.727
0.6600,1.727
0.6700,1.727
0.6800,1.727
0.6900,1.727
0.7000,1.727
0.7100,1.727
0.7200,1.727
0.7300,1.727
0.7400,1.727
0.7500,1.727
0.7600,1.727
0.7700,1.727
0.7800,1.727
0.7900,1.727
0.8000,1.727
0.8100,1.726
0.8200,1.726
0.8300,1.726
0.8400,1.726
0.8500,1.726
0.8600,1.726
0.8700,1.726
0.8800,1.726
0.8900,1.726
0.9000,1.726
0.9100,1.726
0.9200,1.726
0.9300,1.726
0.9400,1.726
0.9500,1.726
0.9600,1.726
0.9700,1.726
0.9800,1.726
0.9900,1.726
1.0000,1.726
1.0100,1.726
1.0200,1.726
1.0300,1.726
1.0400,1.726
1.0500,1.726
1.0600,1.726
1.0700,1.726
1.0800,1.726
1.0900,1.726
1.1000,1.726
1.1100,1.726
1.1200,1.726
1.1300,1.726
1.1400,1.726
1.1500,1.726
1.1600,1.725
1.1700,1.725
1.1800,1.725
1.1900,1.725
1.2000,1.725
1.2100,1.726
1.2200,1.726
1.2300,1.726
1.2400,1.726
1.2500,1.726
1.2600,1.726
1.2700,1.726
1.2800,1.726
1.2900,1.725
1.3000,1.725
1.3100,1.725
1.3200,1.725
1.3300,1.724
1.3400,1.724
1.3500,1.724
1.3600,1.724
1.3700,1.724
1.3800,1.724
1.3900,1.724
1.4000,1.724
1.4100,1.725
1.4200,1.725
1.4300,1.724
1.4400,1.724
1.4500,1.725
1.4600,1.725
1.4700,1.724
1.4800,1.724
1.4900,1.724
1.5000,1.724
1.5100,1.724
1.5200,1.723
1.5300,1.725
1.5400,1.723
1.5500,1.723
1.5600,1.723
1.5700,1.723
1.5800,1.722
1.5900,1.722
1.6000,1.722
1.6100,1.722
1.6200,1.721
1.6300,1.721
1.6400,1.721
1.6500,1.721
1.6600,1.721
1.6700,1.721
1.6800,1.721
1.6900,1.721
1.7000,1.721
1.7100,1.721
1.7200,1.721
1.7300,1.720
1.7400,1.720
1.7500,1.720
1.7600,1.720
1.7700,1.720
1.7800,1.720
1.7900,1.720
1.8000,1.719
1.8100,1.719
1.8200,1.718
1.8300,1.718
1.8400,1.718
1.8500,1.717
1.8600,1.716
1.8700,1.716
1.8800,1.717
1.8900,1.717
1.9000,1.718
1.9100,1.718
1.9200,1.718
1.9300,1.717
1.9400,1.718
1.9500,1.718
1.9600,1.718
1.9700,1.717
1.9800,1.717
1.9900,1.716
2.0000,1.716
2.0100,1.715
2.0200,1.715
2.0300,1.715
2.0400,1.714
2.0500,1.714
2.0600,1.714
2.0700,1.714
2.0800,1.714
2.0900,1.714
2.1000,1.714
2.1100,1.713
2.1200,1.713
2.1300,1.713
2.1400,1.712
2.1500,1.712
2.1600,1.712
2.1700,1.712
2.1800,1.712
2.1900,1.712
2.2000,1.711
2.2100,1.711
2.2200,1.711
2.2300,1.711
2.2400,1.711
2.2500,1.711
2.2600,1.711
2.2700,1.711
2.2800,1.711
2.2900,1.711
2.3000,1.711
2.3100,1.710
2.3200,1.710
2.3300,1.710
2.3400,1.710
2.3500,1.710
2.3600,1.710
2.3700,1.709
2.3800,1.709
2.3900,1.709
2.4000,1.709
2.4100,1.709
2.4200,1.709
2.4300,1.709
2.4400,1.709
2.4500,1.709
2.4600,1.709
2.4700,1.708
2.4800,1.708
2.4900,1.707
2.5000,1.706
2.5063,1.707
2.5126,1.706
2.5189,1.706
2.5253,1.705
2.5316,1.705
2.5381,1.704
2.5445,1.704
2.5510,1.704
2.5575,1.703
2.5641,1.703
2.5707,1.703
2.5773,1.702
2.5840,1.702
2.5907,1.701
2.5974,1.701
2.6042,1.700
2.6110,1.700
2.6178,1.699
2.6247,1.699
2.6316,1.699
2.6385,1.698
2.6455,1.698
2.6525,1.698
2.6596,1.698
2.6667,1.698
2.6738,1.698
2.6810,1.698
2.6882,1.698
2.6954,1.698
2.7027,1.698
2.7100,1.697
2.7174,1.697
2.7248,1.696
2.7322,1.696
2.7397,1.697
2.7473,1.697
2.7548,1.697
2.7624,1.697
2.7701,1.697
2.7778,1.697
2.7855,1.697
2.7933,1.696
2.8011,1.696
2.8090,1.695
2.8169,1.695
2.8249,1.695
2.8329,1.695
2.8409,1.695
2.8490,1.695
2.8571,1.694
2.8653,1.694
2.8736,1.694
2.8818,1.694
2.8902,1.693
2.8986,1.693
2.9070,1.693
2.9155,1.692
2.9240,1.692
2.9326,1.692
2.9412,1.691
2.9499,1.691
2.9586,1.691
2.9674,1.690
2.9762,1.690
2.9851,1.690
2.9940,1.690
3.0030,1.690
3.0120,1.690
3.0211,1.690
3.0303,1.689
3.0395,1.689
3.0488,1.689
3.0581,1.688
3.0675,1.688
3.0769,1.688
3.0864,1.688
3.0960,1.687
3.1056,1.687
3.1153,1.686
3.1250,1.686
3.1348,1.686
3.1447,1.687
3.1546,1.686
3.1646,1.686
3.1746,1.685
3.1847,1.685
3.1949,1.685
3.2051,1.684
3.2154,1.684
3.2258,1.684
3.2362,1.684
3.2468,1.684
3.2573,1.683
3.2680,1.683
3.2787,1.683
3.2895,1.683
3.3003,1.683
3.3113,1.683
3.3223,1.683
3.3333,1.682
3.3445,1.682
3.3557,1.682
3.3670,1.681
3.3784,1.681
3.3898,1.681
3.4014,1.680
3.4130,1.680
3.4247,1.679
3.4364,1.678
3.4483,1.678
3.4602,1.678
3.4722,1.678
3.4843,1.677
3.4965,1.677
3.5088,1.676
3.5211,1.676
3.5336,1.675
3.5461,1.675
3.5587,1.674
3.5714,1.674
3.5842,1.673
3.5971,1.673
3.6101,1.672
3.6232,1.671
3.6364,1.670
3.6496,1.670
3.6630,1.669
3.6765,1.669
3.6900,1.668
3.7037,1.667
3.7175,1.667
3.7313,1.666
3.7453,1.665
3.7594,1.665
3.7736,1.665
3.7879,1.664
3.8023,1.663
3.8166,1.662
3.8314,1.661
3.8462,1.661
3.8610,1.661
3.8760,1.660
3.8911,1.660
3.9063,1.659
3.9216,1.659
3.9370,1.658
3.9526,1.657
3.9683,1.656
3.9841,1.655
4.0000,1.654
4.0161,1.653
4.0323,1.653
4.0486,1.652
4.0650,1.651
4.0816,1.651
4.0984,1.651
4.1152,1.650
4.1322,1.649
4.1494,1.648
4.1667,1.647
4.1841,1.647
4.2017,1.646
4.2194,1.646
4.2373,1.646
4.2553,1.645
4.2735,1.644
4.2918,1.643
4.3103,1.643
4.3290,1.642
4.3478,1.641
4.3668,1.640
4.3860,1.638
4.4053,1.637
4.4248,1.636
4.4444,1.635
4.4643,1.634
4.4843,1.633
4.5045,1.632
4.5249,1.631
4.5455,1.630
4.5662,1.629
4.5872,1.628
4.6083,1.627
4.6296,1.626
4.6512,1.625
4.6729,1.624
4.6948,1.623
4.7170,1.622
4.7393,1.621
4.7619,1.620
4.7847,1.619
4.8077,1.618
4.8309,1.616
4.8544,1.615
4.8780,1.614
4.9020,1.613
4.9261,1.611
4.9505,1.610
4.9751,1.609
5.0000,1.608
5.0251,1.607
5.0505,1.606
5.0761,1.604
5.1020,1.603
