"n1";"l1";"j1";"n2";"l2";"j2";"dipole matrix element reduced l basis (a.u.)";"comment";"theory = 1, experiment = 0";"accuracy";"source";"doi"
5;0;0.5;5;1;0.5;4.221;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
5;0;0.5;6;1;0.5;0.333;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4477"
5;0;0.5;7;1;0.5;0.115;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4478"
5;0;0.5;8;1;0.5;0.059;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4479"
6;0;0.5;5;1;0.5;4.119;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4480"
6;0;0.5;6;1;0.5;9.684;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4481"
6;0;0.5;7;1;0.5;0.999;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4482"
6;0;0.5;8;1;0.5;0.393;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4483"
5;0;0.5;5;1;1.5;5.956;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4484"
5;0;0.5;6;1;1.5;0.541;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
5;0;0.5;7;1;1.5;0.202;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
5;0;0.5;8;1;1.5;0.111;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
6;0;0.5;5;1;1.5;6.013;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
6;0;0.5;6;1;1.5;13.592;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
6;0;0.5;7;1;1.5;1.54;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
6;0;0.5;8;1;1.5;0.628;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
7;0;0.5;5;1;0.5;0.954;"table I";1;0.001;"Physical Review A, 69 022509 (2004)";"10.1103/PhysRevA.69.022509"
7;0;0.5;6;1;0.5;9.189;"table I";1;0.001;"Physical Review A, 69 022509 (2004)";"10.1103/PhysRevA.69.022509"
7;0;0.5;7;1;0.5;16.844;"table I";1;0.001;"Physical Review A, 69 022509 (2004)";"10.1103/PhysRevA.69.022509"
7;0;0.5;8;1;0.5;1.865;"table I";1;0.001;"Physical Review A, 69 022509 (2004)";"10.1103/PhysRevA.69.022509"
7;0;0.5;5;1;1.5;1.352;"table I";1;0.001;"Physical Review A, 69 022509 (2004)";"10.1103/PhysRevA.69.022509"
7;0;0.5;6;1;1.5;13.353;"table I";1;0.001;"Physical Review A, 69 022509 (2004)";"10.1103/PhysRevA.69.022509"
7;0;0.5;7;1;1.5;23.587;"table I";1;0.001;"Physical Review A, 69 022509 (2004)";"10.1103/PhysRevA.69.022509"
