"n1";"l1";"j1";"n2";"l2";"j2";"dipole matrix element reduced J basis (a.u.)";"comment";"theory = 1, experiment = 0";"accuracy";"source";"doi"
3;0;0.5;3;1;0.5;3.531;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
3;0;0.5;4;1;0.5;0.305;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
3;0;0.5;5;1;0.5;0.107;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
3;0;0.5;6;1;0.5;0.056;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
4;0;0.5;3;1;0.5;3.575;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
4;0;0.5;4;1;0.5;8.376;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
4;0;0.5;5;1;0.5;0.943;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
4;0;0.5;6;1;0.5;0.377;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
3;0;0.5;3;1;1.5;4.994;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
3;0;0.5;4;1;1.5;0.435;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
3;0;0.5;5;1;1.5;0.154;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
3;0;0.5;6;1;1.5;0.081;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
4;0;0.5;3;1;1.5;5.066;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
4;0;0.5;4;1;1.5;11.84;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
4;0;0.5;5;1;1.5;1.341;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
4;0;0.5;6;1;1.5;0.537;"table V";1;0.001;"Physical Review A, 60 4476 (1999)";"10.1103/PhysRevA.60.4476"
